subject,group,story_id,word_number
18,Visual,1,290
18,Visual,1,360
18,Visual,1,519
18,Visual,1,710
18,Visual,1,858
18,Visual,1,1003
18,Visual,1,1178
18,Visual,1,1282
18,Visual,1,1462
18,Visual,2,32
18,Visual,2,102
18,Visual,2,180
18,Visual,2,222
18,Visual,2,376
18,Visual,2,481
18,Visual,2,603
18,Visual,2,706
18,Visual,2,809
18,Visual,2,884
18,Visual,2,938
18,Visual,2,1127
18,Visual,2,1268
18,Visual,2,1351
18,Visual,2,1449
18,Visual,3,122
18,Visual,3,333
18,Visual,3,499
18,Visual,3,788
18,Visual,3,1147
18,Visual,3,1310
18,Visual,3,1416
18,Visual,3,1501
19,Visual,1,71
19,Visual,1,148
19,Visual,1,203
19,Visual,1,273
19,Visual,1,499
19,Visual,1,913
19,Visual,1,1298
19,Visual,2,102
19,Visual,2,222
19,Visual,2,361
19,Visual,2,493
19,Visual,2,809
19,Visual,2,938
19,Visual,2,1237
19,Visual,3,122
19,Visual,3,333
19,Visual,3,499
19,Visual,3,622
19,Visual,3,1310
19,Visual,3,1501
20,Visual,1,307
20,Visual,1,577
20,Visual,1,913
20,Visual,1,1275
20,Visual,2,102
20,Visual,2,222
20,Visual,2,493
20,Visual,2,962
20,Visual,2,1237
20,Visual,3,97
20,Visual,3,250
20,Visual,3,333
20,Visual,3,522
20,Visual,3,598
20,Visual,3,945
20,Visual,3,1122
20,Visual,3,1263
20,Visual,3,1501
